Telephone Calls by Prime Minister on New Year	ಹೊಸ ವರ್ಷದಂದು ಪ್ರಧಾನಮಂತ್ರಿಯವರಿಂದ ದೂರವಾಣಿ ಕರೆಗಳು
On the occasion of the New Year, Prime MinisterShri Narendra Moditoday had telephone conversation with HJigme Khesar Namgyel Wangchuck, The Druk Gyalpo of Kingdom of Bhutan and Lyonchhen (DrLotay Tshering, Prime Minister of Bhutan, Mrtabaya Rajapaksa, President and Mrhinda Rajapaksa, Prime Minister of Sri Lanka, Mrrahim Mohamed Solih, President of the Maldives, Mseikh Hasina, Prime Minister of Bangladesh and MrParma Oli, Prime Minister of Nepal.	ಭೂತಾನ್ ದೊರೆ ಶ್ರೀ ಜಿಗ್ಮೆ ಖೇಸರ್ ನಂಗೆಲ್ ವಾಂಗ್ಚುಕ್ ಮತ್ತು ಪ್ರಧಾನ ಮಂತ್ರಿ ಶ್ರೀ ಲಿಯೊನ್ಚೆನ್ (ಡಾ) ಲೋಟೇ ಶೇರಿಂಗ್, ಶ್ರೀಲಂಕಾ ಅಧ್ಯಕ್ಷ ಗೋಟಬಯಾ ರಾಜಪಕ್ಸೆ ಮತ್ತು ಪ್ರಧಾನಿ ಶ್ರೀ ಮಹಿಂದಾ ರಾಜಪಕ್ಸೆ, ಮಾಲ್ಡೀವ್ಸ್ ಅಧ್ಯಕ್ಷ ಶ್ರೀ ಇಬ್ರಾಹಿಂ ಮೊಹಮ್ಮದ್ ಸೊಲಿಹ್, ಬಾಂಗ್ಲಾದೇಶದ ಪ್ರಧಾನಿ ಶ್ರೀಮತಿ ಶೇಖ್ ಹಸೀನಾ ಮತ್ತು ನೇಪಾಳ ಪ್ರಧಾನಿ ಶ್ರೀ ಕೆ ಿ ರ್ಮಾ ಒಲಿ ಅವರೊಂದಿಗೆ ದೂರವಾಣಿ ಸಂಭಾಷಣೆ ನಡೆಸಿದರು.
He emphasized Indias commitment to Neighbourhood First policy and the vision of shared peace, security, prosperity and progress for all of Indias friends and partners in the region.	‘ನೆರೆಹೊರೆಯವರು ಮೊದಲು’ ನೀತಿಗೆ ಭಾರತದ ಬದ್ಧತೆ ಮತ್ತು ಪರಸ್ಪರ ಶಾಂತಿ, ಸುರಕ್ಷತೆ, ಸಮೃದ್ಧಿ ಮತ್ತು ಪ್ರಗತಿಯ ದೃಷ್ಟಿಕೋನವನ್ನು ಭಾರತದ ಎಲ್ಲ ಸ್ನೇಹಿತರು ಮತ್ತು ಈ ಪ್ರದೇಶದ ಪಾಲುದಾರರಿಗೆ ಅವರು ಒತ್ತಿ ಹೇಳಿದರು.
President of Sri Lanka Mrtabaya Rajapaksa warmly reciprocated the wishes of Prime Minister and expressed confidence that India and Sri Lanka would further enhance their friendly ties in the year 2020	ಶ್ರೀಲಂಕಾ ಅಧ್ಯಕ್ಷ ಶ್ರೀ ೋಟಬಯಾ ರಾಜಪಕ್ಸೆ ಅವರು ಪ್ರಧಾನಮಂತ್ರಿಯವರ ಶುಭಾಶಯಗಳನ್ನು ಪ್ರೀತಿಯಿಂದ ಸ್ವೀಕರಿಸಿದರು ಮತ್ತು 2020 ರಲ್ಲಿ ಭಾರತ ಮತ್ತು ಶ್ರೀಲಂಕಾ ತಮ್ಮ ಸ್ನೇಹ ಸಂಬಂಧವನ್ನು ಇನ್ನಷ್ಟು ವೃದ್ಧಿಸಿಕೊಳ್ಳುತ್ತವೆ ಎಂಬ ವಿಶ್ವಾಸವನ್ನು ವ್ಯಕ್ತಪಡಿಸಿದರು  ನಿಟ್ಟಿನಲ್ಲಿ ಒಟ್ಟಾಗಿ ಕೆಲಸ ಮಾಡುವ ಬದ್ಧತೆಯನ್ನು ಉಭಯ ನಾಯಕರು ಪುನರುಚ್ಚರಿಸಿದರು ್ರೀಲಂಕಾ ಪ್ರಧಾನ ಮಂತ್ರಿ ಮಹಿಂದಾ ರಾಜಪಕ್ಸೆ ಅವರೊಂದಿಗೆ ಮಾತನಾಡಿದ ಪ್ರಧಾನಿಯವರು, ಶ್ರೀಲಂಕಾದೊಂದಿಗೆ ನಿಕಟ ಮತ್ತು ವ್ಯಾಪಕವಾದ ಸಹಕಾರವನ್ನು ಇನ್ನಷ್ಟು ವಿಸ್ತರಿಸುವ ಭಾರತದ ಬದ್ಧತೆಯನ್ನು ಪುನರುಚ್ಚರಿಸಿದರು ್ರಧಾನಿ ರಾಜಪಕ್ಸೆಯವರು ಶುಭಾಶಯಗಳನ್ನು ತಿಳಿಸಿದರು ಮತ್ತು ಉಭಯ ದೇಶಗಳ ನಡುವಿನ ಸಂಬಂಧವನ್ನು ಇನ್ನಷ್ಟು ಹೆಚ್ಚಿಸುವ ಆಶಯ ವ್ಯಕ್ತಪಡಿಸಿದರು ಾಲ್ಡೀವ್ಸ್ ಅಧ್ಯಕ್ಷರು ಮತ್ತು ಮಾಲ್ಡೀವ್ಸ್ ಜನರು ಅಭಿವೃದ್ಧಿಯ ಎಲ್ಲಾ ಪ್ರಯತ್ನಗಳಲ್ಲಿ ಯಶಸ್ವಿಯಾಗಲಿ ಪ್ರಧಾನಿ ಶ್ರೀ ಮೋದಿ ಶುಭ ಹಾರೈಸಿದರು.
President Solih warmly reciprocated Prime Ministers wishes and expressed his keen desire to further deepen and strengthen the ties with India by enhancing the existing bilateral cooperation and exploring newer areas for working together.	ಅಧ್ಯಕ್ಷ ಸೋಲಿಹ್ ಅವರು ಪ್ರಧಾನಮಂತ್ರಿಯವರ ಆಶಯಗಳನ್ನು ಪ್ರೀತಿಯಿಂದ ಒಪ್ಪಿಕೊಂಡರು ಮತ್ತು ಅಸ್ತಿತ್ವದಲ್ಲಿರುವ ದ್ವಿಪಕ್ಷೀಯ ಸಹಕಾರವನ್ನು ಹೆಚ್ಚಿಸುವ ಮೂಲಕ ಮತ್ತು ಒಟ್ಟಾಗಿ ಕೆಲಸ ಮಾಡಲು ಹೊಸ ಕ್ಷೇತ್ರಗಳನ್ನು ಅನ್ವೇಷಿಸುವ ಮೂಲಕ ಭಾರತದೊಂದಿಗಿನ ಸಂಬಂಧಗಳನ್ನು ಇನ್ನಷ್ಟು ಗಾಢವಾಗಿಸಲು ಮತ್ತು ಬಲಪಡಿಸುವ  ಬಯಕೆಯನ್ನು ವ್ಯಕ್ತಪಡಿಸಿದರು ಾಂಗ್ಲಾದೇಶದ ಪ್ರಧಾನಿ ಶೇಖ್ ಹಸೀನಾ ಅವರೊಂದಿಗೆ ಮಾತನಾಡಿದ ಪ್ರಧಾನ ಮಂತ್ರಿಯವರು, ಮುಂದಿನ ಮೂರು ವರ್ಷಗಳ ಕಾಲ ಅವಾಮಿ ಲೀಗ್‌ನ ಅಧ್ಯಕ್ಷರಾಗಿ ಮರು ಆಯ್ಕೆಯಾಗಿರುವುದಕ್ಕಾಗಿ ಅವರನ್ನು ಅಭಿನಂದಿಸಿದರು.
Prime Minister also expressed his condolence on the untimely demise of former High Commissioner of Bangladesh to India Syed Muazzem Ali	ಭಾರತಕ್ಕೆ ಬಾಂಗ್ಲಾದೇಶದ ಮಾಜಿ ಹೈಕಮಿಷನರ್ ಸೈಯದ್ ಮುಜೀಂ ಅಲಿ ಅವರ ಅಕಾಲಿಕ ನಿಧನದ ಬಗ್ಗೆ ಪ್ರಧಾನಿ ಸಂತಾಪ ಸೂಚಿಸಿದರು 019 ರಲ್ಲಿ ಭಾರತ-ಬಾಂಗ್ಲಾದೇಶ ಸಂಬಂಧದಲ್ಲಿ ಸಾಧಿಸಿದ ಪ್ರಗತಿಯ ಬಗ್ಗೆ ಪ್ರಧಾನಿ ಗಮನ ಸೆಳೆದರು.
He also stated that the upcoming birth-centenary of Bangbandhu and 50 years of the Liberation of Bangladesh and establishment of bilateral diplomatic ties provided important milestones to further progress of the close India-Bangladesh ties, which is a priority of his Government.	ಮುಂಬರುವ ಬಂಗಬಂಧು ಜನ್ಮ ಶತಮಾನೋತ್ಸವ ಮತ್ತು ಬಾಂಗ್ಲಾದೇಶದ ವಿಮೋಚನೆಯ 50 ವರ್ಷಗಳು ಹಾಗೂ ದ್ವಿಪಕ್ಷೀಯ ರಾಜತಾಂತ್ರಿಕ ಸಂಬಂಧಗಳ ಸ್ಥಾಪನೆಯು, ತಮ್ಮ ಸರ್ಕಾರದ ಆದ್ಯತೆಯಾಗಿರುವ ಭಾರತ-ಬಾಂಗ್ಲಾದೇಶ ಸಂಬಂಧಗಳು ನಿಕಟವಾಗಲು ಹಾಗೂ ಮತ್ತಷ್ಟು ಪ್ರಗತಿಗೆ ಪ್ರಮುಖ ಮೈಲಿಗಲ್ಲುಗಳನ್ನು ಒದಗಿಸಲಿದೆದೆ ಎಂದು ಅವರು ಹೇಳಿದ್ದಾರೆ.
In his conversation with Prime Minister Oli, the Prime Minister expressed his satisfaction at the progress of India-Nepal relations in 2019, with the completion of several projects	ನೇಪಾಳ ಪ್ರಧಾನಿ ಒಲಿ ಅವರೊಂದಿಗಿನ ಸಂವಾದದಲ್ಲಿ, ಹಲವಾರು ಯೋಜನೆಗಳು ಪೂರ್ಣಗೊಂಡ 2019 ರಲ್ಲಿ ಭಾರತ-ನೇಪಾಳ ಸಂಬಂಧದ ಪ್ರಗತಿಯ ಬಗ್ಗೆ ಪ್ರಧಾನಿಯವರು ತಮ್ಮ ತೃಪ್ತಿಯನ್ನು ವ್ಯಕ್ತಪಡಿಸಿದರು.
He specifically noted the completion of Motihari (India)- Amlekhgunj (Nepal) petroleum products pipeline in a record time	ಮೋತಿಹಾರಿ (ಭಾರತ) - ಅಮ್ಲೆಖ್‌ಗುಂಜ್ (ನೇಪಾಳ) ಪೆಟ್ರೋಲಿಯಂ ಉತ್ಪನ್ನಗಳ ಪೈಪ್‌ಲೈನ್ ಅನ್ನು ದಾಖಲೆ ಸಮಯದಲ್ಲಿ ಪೂರ್ಣಗೊಳಿಸಿರುವುದನ್ನು ಅವರು ನಿರ್ದಿಷ್ಟವಾಗಿ ಪ್ರಸ್ತಾಪಿಸಿದರು.
Both the leaders also agreed for an early inauguration of the Integrated Check Post in Biratnagar and the housing reconstruction project in Nepal through video conference.	ಬಿರಾಟ್‌ನಗರದಲ್ಲಿ ಇಂಟಿಗ್ರೇಟೆಡ್ ಚೆಕ್ ಪೋಸ್ಟ್ ಮತ್ತು ನೇಪಾಳದ ವಸತಿ ಪುನರ್ನಿರ್ಮಾಣ ಯೋಜನೆಗಳನ್ನು ವೀಡಿಯೊ ಕಾನ್ಫರೆನ್ಸ್ ಮೂಲಕ ಶೀಘ್ರ ಉದ್ಘಾಟಿಸಲು ಇಬ್ಬರೂ ನಾಯಕರು ಸಮ್ಮತಿಸಿದರು.
PM to visit Karnataka on 2nd and 3rd January 2020	2020ರ ಜನವರಿ 2 ಮತ್ತು 3ರಂದು ಕರ್ನಾಟಕಕ್ಕೆ ಪ್ರಧಾನಮಂತ್ರಿ ಭೇಟಿ
